code,name,campus,location_name,address,lon,lat,city,town,education_stage
14648,市立頂埔國小,校本部校區,市立頂埔國小_校本部校區,新北市土城區中央路四段205號,121.4143295,24.95620155,新北市,土城區,國小
14649,市立廣福國小,校本部校區,市立廣福國小_校本部校區,新北市土城區學府路一段127號,121.454895,24.98695183,新北市,土城區,國小
14650,市立汐止國小,校本部校區,市立汐止國小_校本部校區,新北市汐止區大同路二段313號,121.6552505,25.06692123,新北市,汐止區,國小
14651,市立長安國小,校本部校區,市立長安國小_校本部校區,新北市汐止區長興街一段80號,121.6707001,25.07938385,新北市,汐止區,國小
14652,市立保長國小,校本部校區,市立保長國小_校本部校區,新北市汐止區大同路三段553號,121.6811523,25.07186317,新北市,汐止區,國小
14652,市立保長國小,保長國民小學,市立保長國小_保長國民小學,新北市汐止區大同路三段553號,121.6808548,25.07177353,新北市,汐止區,國小
14653,市立崇德國小,校本部校區,市立崇德國小_校本部校區,22172 新北市汐止區茄苳路158號,121.6689987,25.06943321,新北市,汐止區,國小
14654,市立北港國小,校本部校區,市立北港國小_校本部校區,新北市汐止區汐萬路二段279號,121.6450729,25.08914185,新北市,汐止區,國小
14654,市立北港國小,烘內校區,市立北港國小_烘內校區,新北市汐止區汐萬路二段279號,121.644722,25.10527802,新北市,汐止區,國小
14654,市立北港國小,八連校區,市立北港國小_八連校區,新北市汐止區汐萬路二段279號,121.6293335,25.10197258,新北市,汐止區,國小
14655,市立北峰國小,校本部校區,市立北峰國小_校本部校區,新北市汐止區環河街1號,121.6328354,25.06381989,新北市,汐止區,國小
14656,市立東山國小,校本部校區,市立東山國小_校本部校區,新北市汐止區汐平路二段76號,121.6998978,25.05997086,新北市,汐止區,國小
14657,市立白雲國小,校本部校區,市立白雲國小_校本部校區,新北市汐止區福山里民權街二段90號,121.6189041,25.04772758,新北市,汐止區,國小
14658,市立萬里國小,校本部校區,市立萬里國小_校本部校區,新北市萬里區瑪鋉路18號,121.6881866,25.17617416,新北市,萬里區,國小
14659,市立野柳國小,校本部校區,市立野柳國小_校本部校區,新北市萬里區野柳里港東路167號,121.6895447,25.20545006,新北市,萬里區,國小
14660,市立大鵬國小,校本部校區,市立大鵬國小_校本部校區,新北市萬里區大鵬里加投路14號,121.6509476,25.20840645,新北市,萬里區,國小
